key,title,grade,body_chars
smc-liquidity-grab-bull,Bullish Liquidity Grab,FAIL,445
smc-liquidity-grab-bear,Bearish Liquidity Grab,FAIL,457
smc-displacement-bull,Bullish Displacement Candle,FAIL,474
smc-displacement-bear,Bearish Displacement Candle,FAIL,474
smc-choch-bull,Change of Character — Bullish Shift,PASS,448
smc-choch-bear,Change of Character — Bearish Shift,PASS,450
what-to-do-next,What To Do Next,FAIL,302
calc-account,Account Size ($),PASS,243
calc-risk-pct,Risk % Per Trade,PASS,344
risk-preset-conservative,CONSERVATIVE — 1% Risk,PASS,249
risk-preset-standard,STANDARD — 2% Risk,PASS,270
risk-preset-aggressive,AGGRESSIVE — 3% Risk,PASS,297
risk-teach-panel,Risk Teaching,PASS,311
calc-leverage,Leverage,WEAK,265
trade-size-field,Trade Amount / Cash In ($),PASS,236
asset-type,Asset Type,WEAK,252
contract-size,Contract Size (Forex),FAIL,252
calc-position-size,Lots / Units — Position Size,PASS,296
calc-money-at-risk,Money at Risk,PASS,260
calc-margin,Margin Required,PASS,291
calc-effective-rr,R:R — Risk:Reward Ratio,PASS,309
flow-scale,Flow-Scaled Sizing,WEAK,357
confluence-score,Confluence — Indicator Agreement,FAIL,270
kelly-badge,Kelly Criterion Sizing,FAIL,338
rr-worst-case,Planned Risk — If Stop Loss Hit,PASS,243
rr-tp1,TP1 — First Target Profit,PASS,233
rr-tp2,TP2 — Second Target Profit,PASS,269
rr-tp3,TP3 — Best Case Profit,PASS,277
spread-cost,Spread Cost,PASS,296
risk-of-ruin,Risk of Ruin,PASS,283
trade-duration-card,Trade Duration Estimate,FAIL,291
trade-session,Trading Session,FAIL,283
ladder-row,Multi-Trade Ladder Row,PASS,496
ladder-preset-conservative,Conservative Ladder (0.5% × 5),PASS,248
ladder-preset-balanced,Balanced Ladder (1/1.5/2/2.5/3%),PASS,201
ladder-preset-aggressive,Aggressive Ladder (1/2/3/4/5%),PASS,269
auto-be,Break Even,PASS,464
auto-trail,Trailing Stop,PASS,321
auto-macro,Macro Event Guard,PASS,392
auto-inval,Technical Invalidation,PASS,334
auto-sent,Sentiment Watch,FAIL,315
auto-recommended,DotVerse Recommendation,FAIL,363
agent-sizing-card,Agent Sizing Assessment,PASS,308
verdict-agent-card,Verdict Agent,FAIL,297
fear-greed,Fear & Greed Index,FAIL,334
market-conditions,Market Conditions,FAIL,265
scanner-table,Market Scanner,FAIL,253
scanner-tf-cell,Timeframe Cell,FAIL,261
market-top-opportunities,Top Opportunities,FAIL,242
market-latest-news,Latest News,FAIL,299
ind-adv-rsi,RSI — Relative Strength Index,FAIL,284
ind-adv-ema,EMA — Exponential Moving Averages,FAIL,260
ind-adv-macd,MACD — Moving Average Convergence Divergence,FAIL,262
ind-adv-volume,Volume,FAIL,232
ind-adv-bollinger,Bollinger Bands,FAIL,322
ind-adv-atr-volatility,ATR Volatility,WEAK,305
ind-adv-htf-trend,Higher Timeframe Trend,WEAK,266
ind-adv-confluence,Confluence Score,FAIL,268
order-flow-volume-vs-avg,Volume vs Average,FAIL,268
order-flow-volatility,Volatility (ATR),WEAK,279
mtf-cell,Timeframe Signal,FAIL,305
watchlist-row,Watchlist Asset,FAIL,268
watchlist-toggle,Watch / Unwatch,FAIL,240
journey-step-discover,Step 1 — Discover,FAIL,230
journey-step-today,Step 1 — Today,WEAK,140
journey-step-market,Step 2 — Market,FAIL,160
journey-step-read,Step 2 — Read Signal,PASS,259
journey-step-understand,Step 4 — Understand (You Are Here),FAIL,313
journey-step-verdict,Step 5 — Verdict,WEAK,150
journey-step-size,Step 6 — Size Your Trade,PASS,287
journey-step-execute,Step 7 — Execute,PASS,242
size-live-price-bar,Live Price,WEAK,291
size-direction-long,LONG (Buy),PASS,252
size-direction-short,SHORT (Sell),PASS,271
size-current-price,Current Price,WEAK,234
size-summary-box,Trade Summary,PASS,254
size-trade-scenario,Trade Scenarios,WEAK,332
size-submit-mt5,Submit All to MT5,PASS,270
size-ladder-target,Target Selector,PASS,309
auto-atr-multiplier,ATR Trailing Multiplier,PASS,253
auto-macro-hours,Macro Event Threshold,PASS,266
auto-max-trades,Max Trades Per Day,FAIL,236
auto-weekend-close,Weekend Close,PASS,285
auto-drawdown-pause,Drawdown Pause,PASS,291
auto-tp1-scale,Auto-Take 50% Profit at TP1,PASS,278
auto-tp2-scale,Auto-Take 30% Profit at TP2,WEAK,247
auto-tp3-scale,Auto-Close at TP3,PASS,298
auto-daily-loss,Daily Loss Limit,WEAK,269
auto-news-filter,News Event Protection,WEAK,319
auto-scan-entry,Auto-Open Trades from Scanner,WEAK,298
auto-ai-reanalyze,AI Re-Analysis Timer,PASS,355
auto-alert-signal,New Signal Alert,PASS,282
auto-alert-tp,Target Hit Alert,FAIL,215
auto-alert-sl,Stop Loss Alert,PASS,266
auto-alert-summary,Daily P&L Summary,PASS,300
auto-sentiment-close,Sentiment Partial-Close %,WEAK,300
auto-watch-dashboard,Active Watch Dashboard,FAIL,264
auto-watch-flag-chip,Automation Flag,FAIL,258
verdict-consensus,Consensus Action,FAIL,304
verdict-confidence-grade,Verdict Confidence Grade,FAIL,270
verdict-signal-review,DotVerse Signal Review,FAIL,338
portfolio-position-table,Position Table,PASS,254
portfolio-var,Value at Risk (VaR),WEAK,263
portfolio-stress-test,Stress Test,PASS,325
portfolio-correlation,Correlation Heatmap,FAIL,267
portfolio-optimisation,Parameter Optimisation,FAIL,311
portfolio-health-banner,Portfolio Health Status,PASS,357
portfolio-drawdown-gauge,Drawdown Tracker,PASS,362
portfolio-allocation,Target Allocation vs Actual,WEAK,318
portfolio-cost-analysis,What Your Broker Costs,PASS,360
portfolio-trade-history,Trade History,PASS,343
portfolio-add-position,Add Position,FAIL,292
portfolio-correlation-banner,Currency Concentration Warning,PASS,326
portfolio-summary-card,Portfolio Summary,PASS,337
portfolio-performance,Portfolio Performance,WEAK,313
bt-strat-full,Full Report — All signals unfiltered,FAIL,142
bt-strat-ob,Order Block — Institutional zone detection,FAIL,150
bt-strat-sd,Supply & Demand — Imbalance zones,FAIL,140
bt-strat-retrace,Retracement — Fib pullback entries,FAIL,125
bt-strat-pb,Pullback — Shallow trend dips,FAIL,137
bt-strat-bo,Breakout — Level breakouts,FAIL,136
bt-strat-liq,Liquidity — Stop-hunt sweeps,FAIL,145
bt-compare,Compare Strategies,FAIL,130
bt-compare-picker,Strategy comparison picker,FAIL,124
bt-dash-winrate,Backtest Win Rate — % of historical winning trades,WEAK,230
bt-dash-pf,Profit Factor — Gross profit / loss,WEAK,139
bt-dash-dd,Max Drawdown — Worst peak-to-trough,FAIL,139
bt-dash-trades,Total Trades — Sample size,FAIL,127
bt-dash-avgr,Avg Trade R — Avg return per trade,FAIL,131
bt-compare-split,Side-by-side comparison,FAIL,137
bt-equity-curve,Strategy equity curve,WEAK,148
bt-trade-log,Trade log — individual trades,WEAK,145
act-exchange-section,Exchange trading section,FAIL,140
act-exchange-selector,Exchange picker dropdown,FAIL,134
act-exchange-place,Place order button,FAIL,136
act-exchange-orders,Order status feed,FAIL,149
act-exchange-confirm,Confirm order dialog,FAIL,131
act-place-trade,Place This Trade,PASS,276
act-paper-trade,Practice Without Real Money,PASS,297
perf-stats,Your 4 Core Metrics,PASS,423
perf-sharpe,Sharpe Ratio,WEAK,308
perf-winrate,Win Rate (your closed trades),PASS,311
perf-profit-factor,Profit Factor,PASS,249
perf-expectancy,Expectancy (R per Trade),PASS,268
perf-pnl-curve,Equity Curve,WEAK,396
perf-drawdown,Account Drawdown,WEAK,338
perf-heatmap,Monthly Returns Heatmap,PASS,334
perf-expectancy-card,Trade Expectancy,WEAK,328
perf-asset-breakdown,Signals by Asset Class,WEAK,363
perf-targets,Your Targets,WEAK,307
perf-recent-activity,Recent Signal Activity,FAIL,325
perf-calibration,Confidence Calibration,WEAK,394
perf-daily-cap,Daily Trade Cap,WEAK,321
